id;sciname;commonname;type;origin;lat;long;desc;images
00001;Acacia mearnsii ;Acácia-negra;Árvore;Exótica;-161,41119;138,27599;É uma espécie de leguminosa do gênero Acacia, endêmica do sudeste da Austrália. É uma árvore ereta com casca lisa e flores amarelo pálido ou creme. É considerada uma espécie invasora em algumas partes do mundo.;
00002;Acacia podalyriifolia;Acácia-mimosa;Árvore;Exótica;-162,72153;-128,15985;É uma árvore perene nativa da Austrália, mas naturalizada na América do Sul. É bastante utilizada para gerenciamento ambiental e como árvore ornamental. Possui casca cinza e lisa com folhas cinza-prateadas e flores douradas.;
00003;Acca sellowiana;Goiabeira-serrana;Árvore;Nativa;-0,74542;55,47440;Árvore nativa do sul do Brasil, Paraguai, Uruguai e norte da Argentina, é a única espécie do gênero Acca. Ela produz um fruto verde do tamanho de um ovo, que possui um sabor agradável e doce, assim como suas flores que são igualmente comestíveis.;
00004;Acer negundo;Negundo;Árvore;Exótica;99,60852;34,54954;"É uma árvore do gênero Acer que possui sementes com ""asas"", permitindo sua disseminação com o vento. As folhas da árvore são verde e amarela, e é bastante utilizada como árvore ornamental, apesar de ser considerada uma espécie invasora.";
00005;Acer palmatum;Ácer;Árvore;Exótica;-72,85686;102,24425;Também conhecida como bordo japonês, ela é nativa do Japão, Coreia do Sul e China. É uma árvore muito utilizada para fazer bonsai devido ao tamalho de suas folhas. Estas sofrem variação de cor de acordo com as estações do ano, podendo variar desde verde vivo para amarelo e vermelho intenso antes da queda das folhas no outono.;
00006;Acer saccharinum;Bordo-açucareiro;Árvore;Exótica;175,76329;112,15272;Também chamado de carvalho canadense, essa árvore é bastante utilizada para a extração do xarope de bordo, e apresenta característica mudança de cor durante o outono. É considerada a árvore nacional do Canadá.;
00007;Achillea millefolium;Mil-folhas;Flor;Exótica;-178,18125;95,22160;Nativa da Europa e Ásia Ocidental, é bastante utilizada com fins mediciais, com ação anti-inflamatória e adstringente. Possui flores brancas e pode atingir até um metro de altura, e um cheiro adocicado que pode ser forte para algumas pessoas.;
00008;Achyrocline alata;Marcela-do-brejo;Flor;Nativa;43,26178;10,08504;É uma espécie de ampla distribuição geográfica na América do Sul, principalmente em campos úmidos e baixos. Seus ramos podem atingir até 150 cm de altura, com flores amarelas ou branco-amareladas.;
00009;Achyrocline satureioides;Marcela;Flor;Nativa;-84,85168;8,19073;É uma erva bastante utilizada com fins medicinais, com flores amarelas que florescem por volta do mês de março, muito comuns no Sul do Brasil. Seus arbustos podem chegar a até um metro de altura.;
00010;Acoelorrhaphe wrigthii;Palmeira-paorótis;Árvore;Exótica;141,24546;-69,07304;É uma palmeira que pode atingir até 7 metros de altura, com folhas palmadas largas que podem metir até 2 metros de largura. Seus frutos são laranjas, adquirindo a cor preta quando maduros. É nativa da América Central.;
00011;Agathis robusta;Cauri-australiano;Árvore;Exótica;-48,66453;-87,07701;Também conhecido como pinheiro de Queensland, esta árvore é nativa da Austrália, perene e que pode atingir até 40 metros de altura. Seu tronco tem média de 1,2 m de diâmetro e a casca é lisa, com cor marrom-alaranjada a marrom-acinzentada. Suas folhas são verdes e elípticas.;
00012;Agave americana;Agave;Planta;Exótica;73,94972;107,20957;"Conhecida como ""planta do século"", essa espécie possui a peculiar característica de florescer apenas uma vez ao final de sua vida (10 a 30 anos), quando morre após a floração. As flores são amarelas, que surgem do caule que pode atingir 9 metros de altura. São bastante cultivadas com fins ornamentais.";
00013;Albizia austrobrasilica;Angico-branco;Árvore;Nativa;53,26155;-101,74460;Sem descrição;
00014;Albizia niopoides;Angico-branco;Árvore;Nativa;173,87421;84,38254;É uma árvore nativa da América do Sul que pode atingir 35 metros de altura com galhos ramificados e produz um fruto em formato de vagem achatada;
00015;Alcea rosea;Malva-rosa;Flor;Exótica;-115,05305;10,14553;É uma flor que pode variar sua coloração de vermelho escuro, rosa, laranja até amarelo, que pode ser utilizada para fins medicinais.;
00016;Aleurites fordii;Tungue;Árvore;Exótica;-24,61492;-128,06675;Possui porte médio, atingindo até 20 metros de altura. Sua casca libera látex quando ferida, e possui flores rosadas ou lilás. Seu fruto tem um formato parecido com uma pera e adquire uma tonalidade marrom-escura ao amadurecer. O óleo derivado de suas sementes é utilizado em lamparinas.;
00017;Allium schoenoprasum;Cebolinha-de-jardim;Raiz;Exótica;-83,52458;-112,60975;É uma planta nativa da Europa. Possui tufos muito densos de folhas roliças verde-escuras com até 10cm de altura. Na floração apresentam flores rosadas. É um condimento popular e suave, e juntamente da salsinha forma o chamado cheiro-verde.;
00018;Allophylus edulis;Chal-chal;Árvore;Nativa;82,22326;-63,69444;Pode chegar a até 10 metros de altura, tendo tronco com casca fina, folhas verdes com até 15 cm de comprimento, com flores branco-esverdeadas e frutos pequenos e vermelhos. A infusão das folhas é utilizada para o tratamento de diabetes e pressão alta, entre outros. Também é conhecida por fruta-de-pombo.;
00019;Aloe arborescens;Babosa-de-jardim;Planta;Exótica;-149,20751;-118,72479;Nativa da sul da África, pertence à família das aloés. Pode atingir até 3 metros de altura, com folhas suculentas e verde-azuladas. As flores estão organizadas no racemo. É muito utilizada com fins paisagísticos, apesar de ser muito grande para cultivo em vasos.;
00020;Aloe saponaria;Babosa-pintadinha;Planta;Exótica;-149,16599;97,80581;É muito utilizada em produtos cosméticos, apesar causar incômodo quando aplicado diretamente à pele. Suas folhas variam do vermelho ao verde, com várias manchas brancas. As flores variam de vermelho a amarelo, agrupadas em um racemo. Possui altura máxima de 30 centímetros, e é muito utilizada também para paisagismo.;
00021;Aloe vera;Babosa-verdadeira;Planta;Exótica;-35,89657;-133,34424;Amplamente utilizada para fins medicinais e cosméticos, a babosa pode crescer de forma selvagem em climas tropicais ao redor do mundo. Pode crescer a até 2 metros de altura. Com folhas carnosas de cor cinza-esverdeada. Suas flores são amarelas e aparecem em uma espiga que pode atingir um metro de altura. Assim como as outras aloés, também serve um papel ornamental em jardins que recebem pouca chuva.;
00022;Alpinia zerumbet;Gengibre-concha;Planta;Exótica;-154,01938;-126,58576;Pode atingir 3 metros de altura, com folhas em forma de funil. Seu nome se dá ao formato de suas flores em botão, que lembram conchas e possuem a cor rosa quando abertas. Ele pode ser cultivado de forma ornamental ou pode-se utilizar suas folhas na culinária ou medicina tradicional.;
00023;Annona neosalicifolia;Araticum;Árvore;Nativa;-144,99273;156,21206;Árvore que atinge até 8 metros de altura, com tronco pardo e folhas amareladas e elípticas. As flores possuem cor creme, e os frutos são amarelos com manchas pretas, do tipo sincárpios, presente em todo o Brasil. Essa árvore pode ser utilizada para arborização urbana e recomposição florestal, e seus frutos podem ser utilizados na culinária.;
00024;Annona sylvatica;Fruta-de-china;Árvore;Nativa;42,70973;53,57871;Endêmica do Brasil, essa árvore pode chegar aos 8 metros de altura. Seus frutos são adocicados e muito apreciados pela fauna e por humanos, apresentando coloração amarela quando maduros. É muito útil para a recomposição de áreas degradadas.;
00025;Apuleia leiocarpa;Grápia;Árvore;Nativa;82,47294;13,64491;Pode atingir até 40 metros de altura com uma copa achatada, larga e densa. Suas flores são brancas e dão em cachos, que florescem na época que as folhas caem. Sua madeira é amarela e altamente resistente contra intempéries, sendo apreciada pra a construção civil.;
00026;Araucaria angustifolia;Araucária;Árvore;Nativa;-176,33735;99,31256;Também chamado de pinheiro-do-paraná, essa espécie de conífera é dominante na região Sul do Brasil. Pode atingir até 50 metros de altura, com uma copa em formato de umbela e larga. O seu pseudofruto abrica as sementes, chamadas de pinhões, que são uma iguaria na região e alimentam a fauna local. Infelizmente, devido à qualidade da sua madeira, seu ecossistema foi amplamente devastado desde o século XIX, e é listada pela IUCN como em perígo crítico.;
